ticker,total_news,avg_sentiment,positive_news,neutral_news,negative_news,avg_confidence,latest_price,avg_price,avg_volume,attention_score,attention_level,sentiment_score,sentiment_level,momentum_index,momentum_level,confidence_score,confidence_level,risk_score,risk_level,opportunity_score,opportunity_level,recommendation,executive_summary,analyst_insight,business_impact,suggested_action,key_drivers
AAPL,36,-0.06704511576228672,5,23,8,0.8292583856317732,299.2300109863281,299.0082751858619,49435227.741935484,35.0,Medium,46.6,Neutral,42.0,Weak,100,Very High,57.2,Moderate,47.5,Low,Monitor,AAPL currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",No significant business impact detected at present.,Continue routine monitoring.,Very High Confidence
AMD,1,-0.5660317540168762,0,0,1,0.5660317540168762,,,,1.0,Low,21.7,Very Negative,13.4,Very Weak,20,Very Low,43.4,Low,13.7,Very Low,Insufficient Evidence,AMD currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Negative Sentiment, Low Attention, Very Low Confidence"
AMZN,7,-0.025341263839176724,1,5,1,0.7681634426116943,,,,6.8,Low,48.7,Neutral,31.9,Very Weak,60,Medium,39.7,Low,33.9,Very Low,Monitor,AMZN currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
ANTHROPIC,7,-0.07014226913452148,1,4,2,0.8170818941933768,,,,6.8,Low,46.5,Neutral,30.6,Very Weak,60,Medium,40.8,Low,32.8,Very Low,Monitor,ANTHROPIC currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
ARM,6,0.15398523211479187,1,5,0,0.8382593095302582,,,,5.8,Low,57.7,Positive,36.9,Weak,60,Medium,34.9,Very Low,38.2,Low,Monitor,ARM currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
BP,3,0.0,0,3,0,0.7052002251148224,,,,2.9,Low,50.0,Neutral,31.2,Very Weak,40,Low,33.9,Very Low,31.1,Very Low,Monitor,BP currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by low confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Low Confidence"
C,1,0.0,0,1,0,0.8953465819358826,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,C currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
COHERE,1,0.9301836490631104,1,0,0,0.9301836490631104,,,,1.0,Low,96.5,Very Positive,58.3,Moderate,20,Very Low,6.0,Very Low,52.6,Low,Insufficient Evidence,COHERE currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Positive Sentiment, Low Attention, Very Low Confidence"
DIS,2,0.0,0,2,0,0.6891885101795197,,,,1.9,Low,50.0,Neutral,30.8,Very Weak,20,Very Low,29.6,Very Low,28.7,Very Low,Insufficient Evidence,DIS currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
F,1,0.0,0,1,0,0.931246817111969,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,F currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
GM,1,0.0,0,1,0,0.9135843515396118,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,GM currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
GOOGL,14,-0.04702549321310861,1,11,2,0.8164792827197483,,,,13.6,Low,47.6,Neutral,34.0,Very Weak,60,Medium,42.3,Low,35.9,Low,Monitor,GOOGL currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
INTC,2,0.0,0,2,0,0.7242646515369415,,,,1.9,Low,50.0,Neutral,30.8,Very Weak,20,Very Low,29.6,Very Low,28.7,Very Low,Insufficient Evidence,INTC currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
META,3,0.0,0,3,0,0.8592853943506876,,,,2.9,Low,50.0,Neutral,31.2,Very Weak,40,Low,33.9,Very Low,31.1,Very Low,Monitor,META currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by low confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Low Confidence"
MSFT,47,-0.08712230717882197,3,36,8,0.8526045007908598,392.385009765625,416.10329117313506,34997978.29032258,45.6,Medium,45.6,Neutral,45.6,Weak,100,Very High,60.9,Moderate,51.0,Low,Monitor,MSFT currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",No significant business impact detected at present.,Continue routine monitoring.,Very High Confidence
NIO,5,0.020668601989746092,1,3,1,0.8692069053649902,,,,4.9,Low,51.0,Neutral,32.6,Very Weak,40,Low,34.0,Very Low,32.4,Very Low,Monitor,NIO currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by low confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Low Confidence"
NVDA,40,0.22964624911546708,12,27,1,0.8663023665547371,209.5399932861328,213.73912934334047,164146572.9032258,38.8,Medium,61.5,Positive,52.4,Weak,100,Very High,50.9,Low,56.7,Moderate,Monitor,NVDA currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",No significant business impact detected at present.,Continue routine monitoring.,Very High Confidence
OPENAI,5,0.2932822585105896,2,3,0,0.8180962204933167,,,,4.9,Low,64.7,Positive,40.8,Weak,40,Low,27.1,Very Low,39.5,Low,Monitor,OPENAI currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by low confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Low Confidence"
ORCL,1,-0.9746345281600952,0,0,1,0.9746345281600952,,,,1.0,Low,1.3,Very Negative,1.2,Very Weak,20,Very Low,53.6,Low,3.1,Very Low,Insufficient Evidence,ORCL currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Negative Sentiment, Low Attention, Very Low Confidence"
QCOM,2,0.0,0,2,0,0.8375328481197357,,,,1.9,Low,50.0,Neutral,30.8,Very Weak,20,Very Low,29.6,Very Low,28.7,Very Low,Insufficient Evidence,QCOM currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
SONY,1,0.0,0,1,0,0.9223570823669434,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,SONY currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
TSLA,34,-0.11020238083951614,2,25,7,0.767283658770954,407.0199890136719,416.1445164834299,50665165.48387097,33.0,Medium,44.5,Negative,39.9,Weak,100,Very High,57.6,Moderate,45.7,Low,Monitor,TSLA currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",No significant business impact detected at present.,Continue routine monitoring.,Very High Confidence
TSM,2,-0.481965035200119,0,1,1,0.8750319182872772,,,,1.9,Low,25.9,Very Negative,16.3,Very Weak,20,Very Low,41.6,Low,16.2,Very Low,Insufficient Evidence,TSM currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Negative Sentiment, Low Attention, Very Low Confidence"
UBER,1,0.0,0,1,0,0.9069495797157288,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,UBER currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
UNKNOWN,103,0.06585391458955783,17,77,9,0.8298021254030247,,,,100.0,Very High,53.3,Neutral,72.0,Moderate,100,Very High,73.4,Moderate,75.7,High,Monitor,UNKNOWN currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",Current conditions justify deeper market investigation.,Continue routine monitoring.,"High Attention, Very High Confidence, High Opportunity"
